node_id,label,attention_centrality,trade_centrality,amplification_ratio
1879,ROU_H50,0.021112049351360643,1.2355537680788344e-07,169499.30137439404
2349,HRV_R_S,0.021111746647448987,1.238347318225003e-07,169117.57120179746
1504,LVA_M74_M75,0.02111028546027231,1.2418467421322385e-07,168633.14613349317
440,CYP_M74_M75,0.021105111193923165,1.2490392384784097e-07,167628.70090871342
427,CYP_I,0.02110161980297687,1.2494780248484072e-07,167542.58023292385
2040,SVN_E36,0.02111210009886363,1.2744167187554186e-07,164371.1093960296
88,AUT_H51,0.021111854504037793,1.2929178997641023e-07,162035.18662119974
1798,PRT_C16,0.02111201429311703,1.3205629841403256e-07,158669.78523198183
2064,SVN_M74_M75,0.021112104433611098,1.3327264387676246e-07,157233.1029169882
2400,CHE_M74_M75,0.021112066195768373,1.3492423918683974e-07,155322.30544066534
1801,PRT_C19,0.02111218158770542,1.3616717370261544e-07,153915.700220503
431,CYP_J62_J63,0.021101768512778427,1.3616016255511106e-07,153847.6487609857
1971,SVK_C21,0.02111187999901396,1.3623847979364488e-07,153833.53146113464
652,ESP_J58,0.02111206473415348,1.3656322700477563e-07,153471.71765184426
1881,ROU_H52,0.021112065367026252,1.368749296528867e-07,153124.75894042445
718,EST_M72,0.021110854876538437,1.381740285608313e-07,151686.74137582458
480,CZE_H51,0.02111195679614911,1.3894154672754052e-07,150862.6800963768
1890,ROU_K66,0.021111981820245245,1.390098941320934e-07,150789.2135132035
404,CYP_C22,0.02110146738263734,1.398725520800073e-07,149791.1911942431
1488,LVA_H51,0.021109759129185356,1.4000036979573282e-07,149714.21110290033
1351,LTU_C17,0.021111021461680993,1.435030870170038e-07,146093.91326841924
1771,POL_I,0.021111757957025187,1.469203668806607e-07,142723.80742577353
1447,LUX_M73,0.02111176698224229,1.4746634603177442e-07,142199.0070242855
450,CZE_A03,0.021112029918391634,1.4762763235079848e-07,142046.46595299285
455,CZE_C17,0.021111712705935592,1.5287272274490327e-07,137202.43802363522
2053,SVN_J59_J60,0.021112151675871143,1.54732491038478e-07,135566.77566182902
2017,SVN_A02,0.021112080792347106,1.551158470096634e-07,135233.4256690821
1463,LVA_C17,0.021110204331239554,1.5552993715473942e-07,134863.68623767365
2388,CHE_J58,0.021112057248622727,1.5773528410793868e-07,133001.66605848452
1441,LUX_K65,0.021112018414653756,1.5899279304329433e-07,131956.05885160595
1153,IRL_H52,0.021112378511591107,1.638611500675243e-07,128061.57486432577
1987,SVK_G45,0.021112076433518798,1.6418089616362059e-07,127811.85308866558
421,CYP_G47,0.02110055866856459,1.6444759912991793e-07,127536.20348395235
2036,SVN_C30,0.0211121690953511,1.6500148354726281e-07,127180.60492116136
102,AUT_M72,0.021111962147751653,1.673585545689852e-07,125398.80852386975
2353,CHE_A02,0.021112046519214514,1.6747164354784697e-07,125315.13360121382
99,AUT_L68,0.02111202915692391,1.6871532008783465e-07,124396.72002502524
